L,100
player,5,5
player,95,95
chest,35.91,22.07,1.20
chest,62.07,15.79,1.20
chest,52.87,39.26,1.20
chest,14.64,50.59,1.20
chest,13.00,44.69,1.20
chest,15.59,17.26,1.20
chest,43.96,76.15,1.20
chest,19.90,27.86,1.20
chest,60.19,85.82,1.20
chest,56.17,41.73,1.20
chest,88.10,13.73,1.20
chest,78.68,33.17,1.20
chest,21.54,19.42,1.20
chest,34.68,75.29,1.20
chest,24.46,56.53,1.20
chest,61.11,39.79,1.20
chest,53.82,15.02,1.20
chest,14.77,26.48,1.20
chest,64.43,44.21,1.20
chest,35.13,56.84,1.20
obstacle,30,30,10
obstacle,70,70,10
obstacle,30,70,10
obstacle,70,30,10
obstacle,50,50,12
